generation,time,#candidates,#operators
1,232.30038356781006,1,1
2,580.6698951721191,9,20
3,1742.1611497402191,20,67
5,7453.187255144119,45,208
27,49394.16927075386,66,714
28,51563.97404336929,38,423
29,53063.822711229324,50,565
6,8173.69134926796,34,169
7,10177.47031545639,44,243
8,12401.730664253235,34,209
9,14067.824939250946,32,204
10,15699.03962302208,24,158
11,16708.697617053986,42,279
4,3706.5685193538666,39,162
12,18461.207643270493,39,286
13,20602.911931037903,30,219
14,22116.755344867706,55,444
15,24662.714999437332,26,211
16,26164.879955291748,52,426
17,28653.41236424446,39,321
18,30740.562891721725,47,426
19,33004.78974747658,55,503
20,35418.91931653023,51,468
21,37616.31795454025,44,405
22,39567.222838163376,41,398
23,41258.67256641388,39,385
24,43099.06420135498,57,568
25,45348.71428871155,55,563
26,47534.06294679642,27,294
